"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","TIME","SURVEYOR1","SURVEYOR2","SURVEYOR3","SURVEYOR4","WINDVEL","WINDDIR","CLOUDCVR","SECCHI","SECCBOT","SCOPE","REP","QA_CERT","GLOEO","COMMENTS"
"COBBOSSEECON",5236.00,2.00,1993-7-4 0:00:00,"CW",3.00," 930","SOUCY,CHERYL",,,,12.00,8.00,"C",4.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-7-6 0:00:00,"CW",3.00,"1100","MCPHEDRAN,JOHN","DENNIS,WENDY",,,2.00,5.00,"B",4.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-7-18 0:00:00,"CW",3.00,"1015","SOUCY,CHERYL",,,,3.00,1.00,"B",3.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-7-31 0:00:00,"CW",3.00,"1115","SOUCY,CHERYL",,,,,,"O",2.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-8-5 0:00:00,"CW",3.00,"1105","MCPHEDRAN,JOHN","DENNIS,WENDY",,,5.00,7.00,"B",3.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-8-15 0:00:00,"CW",3.00,"1400","SOUCY,CHERYL",,,,7.00,5.00,"B",2.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-8-22 0:00:00,"CW",3.00,"1200","SOUCY,CHERYL",,,,,,"B",2.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-8-29 0:00:00,"CW",3.00,"1105","SOUCY,CHERYL",,,,,,"B",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-9-2 0:00:00,"CW",3.00,"1230","MCPHEDRAN,JOHN","DENNIS,WENDY",,,4.00,6.00,"B",2.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-9-12 0:00:00,"CW",3.00,"1100","SOUCY,CHERYL",,,,12.00,6.00,"B",1.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-9-25 0:00:00,"CW",3.00,"1250","SOUCY,CHERYL",,,,17.00,7.00,"B",1.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1993-10-6 0:00:00,"CW",3.00,"1100","MCPHEDRAN,JOHN","DENNIS,WENDY",,,7.00,6.00,"C",2.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-2-17 0:00:00,"CW",3.00,"1120","MCPHEDRAN,JOHN","MONAGLE,BILL",,,10.00,6.00,"B",3.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-5-4 0:00:00,"CW",3.00,"1330","MCPHEDRAN,JOHN","MANWELL,NORM",,,15.00,6.00,"B",2.70,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-5-7 0:00:00,"EI",3.00,"1430","SOUCY,CHERYL",,,,8.00,1.00,"B",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-5-21 0:00:00,"EI",3.00,"1140","SOUCY,CHERYL",,,,3.00,5.00,"B",3.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-6-4 0:00:00,"EI",3.00,"1315","SOUCY,CHERYL",,,,3.00,8.00,"B",4.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-6-7 0:00:00,"CW",3.00,"1200","MCPHEDRAN,JOHN","EMERSON,JOE",,,8.00,7.00,"B",5.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-6-17 0:00:00,"EI",3.00,"1450","SOUCY,CHERYL",,,,3.00,5.00,"C",5.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-7-4 0:00:00,"EI",3.00," 820","SOUCY,CHERYL",,,,0.00,0.00,"B",4.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-7-7 0:00:00,"CW",3.00,"1140","MCPHEDRAN,JOHN","HUSMAN,MARIA",,,0.00,0.00,"B",3.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-7-16 0:00:00,"EI",3.00,"1010","SOUCY,CHERYL",,,,3.00,7.00,"B",3.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-7-31 0:00:00,"EI",3.00,"1115","SOUCY,CHERYL",,,,4.00,7.00,"C",2.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-8-3 0:00:00,"CW",3.00,"1139","MCPHEDRAN,JOHN","MONAGLE,BILL",,,1.00,5.00,"O",2.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-8-14 0:00:00,"EI",3.00,"1050","SOUCY,CHERYL",,,,17.00,6.00,"O",1.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-8-28 0:00:00,"EI",3.00,"1200","SOUCY,CHERYL",,,,7.00,6.00,"C",2.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-9-7 0:00:00,"CW",3.00,"1100","MCPHEDRAN,JOHN","MANWELL,NORM",,,6.00,6.00,"B",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-9-11 0:00:00,"EI",3.00," 900","SOUCY,CHERYL",,,,2.00,1.00,"B",1.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-9-18 0:00:00,"EI",3.00,"1500","SOUCY,CHERYL",,,,3.00,1.00,"B",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-10-1 0:00:00,"EI",3.00,"1320","SOUCY,CHERYL",,,,10.00,7.00,"B",3.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1994-10-5 0:00:00,"CW",3.00,"1145","MCPHEDRAN,JOHN","MANWELL,NORM",,,7.00,7.00,"C",3.10,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-5-11 0:00:00,"CW",3.00,"1145","MCPHEDRAN,JOHN","MANWELL,NORM",,,5.00,4.00,"C",5.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-5-28 0:00:00,"EI",3.00," 943","SOUCY,CHERYL",,,,1.00,5.00,"B",6.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-6-9 0:00:00,"CW",3.00,"1115","MCPHEDRAN,JOHN","EMERSON,JOE",,,4.00,1.00,"B",6.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-6-10 0:00:00,"EI",3.00,"1110","SOUCY,CHERYL",,,,1.00,7.00,"B",6.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-6-24 0:00:00,"EI",3.00," 945","SOUCY,CHERYL",,,,0.00,0.00,"B",6.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-7-4 0:00:00,"EI",3.00," 915","SOUCY,CHERYL",,,,0.00,0.00,"B",5.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-7-11 0:00:00,"CW",3.00,"1130","DENNIS,WENDY","THIER,ED","PIDOT",,0.00,0.00,"B",4.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-7-16 0:00:00,"EI",3.00,"1130","SOUCY,CHERYL",,,,8.00,4.00,"B",4.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-7-30 0:00:00,"EI",3.00,"1150","SOUCY,CHERYL",,,,11.00,8.00,"B",3.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-8-9 0:00:00,"CW",3.00,"1300","THIER,ED","PIDOT,JUSTIN",,,2.00,4.00,"B",3.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-8-13 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,7.00,1.00,"B",3.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-8-27 0:00:00,"EI",3.00,"1500","SOUCY,CHERYL",,,,7.00,1.00,"C",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-9-3 0:00:00,"EI",3.00," 905","SOUCY,CHERYL",,,,2.00,2.00,"B",2.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-9-10 0:00:00,"EI",3.00," 930","SOUCY,CHERYL",,,,8.00,1.00,"B",2.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-9-14 0:00:00,"CW",3.00,"1130","THIER,ED","MANWELL,NORM",,,10.00,6.00,"B",2.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-9-16 0:00:00,"EI",3.00," 940","SOUCY,CHERYL",,,,0.00,0.00,"B",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1995-10-13 0:00:00,"CW",3.00,"1050","THIER,ED","MANWELL,NORM",,,0.00,0.00,"B",3.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-5-14 0:00:00,"CW",3.00," 955","THIER,ED","MANWELL,NORM",,,5.00,5.00,"B",5.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-5-18 0:00:00,"EI",3.00,"1400","SOUCY,CHERYL",,,,0.00,0.00,"B",5.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-5-27 0:00:00,"EI",3.00,"1425","SOUCY,CHERYL",,,,0.00,0.00,"B",4.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-6-1 0:00:00,"EI",3.00," 955","SOUCY,CHERYL",,,,0.00,0.00,"B",4.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-6-12 0:00:00,"CW",3.00,"1215","THIER,ED","KANE,NOLAN",,,1.00,6.00,"B",5.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-6-15 0:00:00,"EI",3.00,"1010","SOUCY,CHERYL",,,,3.00,7.00,"B",5.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-6-29 0:00:00,"EI",3.00," 925","SOUCY,CHERYL",,,,0.00,0.00,"B",4.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-7-11 0:00:00,"CW",3.00,"1135","THIER,ED","RAVIS,LISA",,,7.00,5.00,"B",4.10,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-7-14 0:00:00,"EI",3.00,"1145","SOUCY,CHERYL",,,,7.00,7.00,"B",3.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-7-24 0:00:00,"CW",3.00,"1030","DENNIS,WENDY","RAVIS,LISA","KANE,NOLAN",,3.00,1.00,"O",3.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-8-10 0:00:00,"EI",3.00,"1130","SOUCY,CHERYL",,,,8.00,1.00,"B",2.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-8-16 0:00:00,"CW",3.00,"1015","THIER,ED","KANE,NOLAN",,,7.00,4.00,"C",2.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-8-17 0:00:00,"EI",3.00,"1150","SOUCY,CHERYL",,,,0.00,0.00,"B",2.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-8-25 0:00:00,"EI",3.00,"1030","SOUCY,CHERYL",,,,10.00,6.00,"B",1.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-9-1 0:00:00,"EI",3.00,"1030","SOUCY,CHERYL",,,,1.00,1.00,"C",1.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-9-7 0:00:00,"EI",3.00," 925","SOUCY,CHERYL",,,,7.00,1.00,"B",1.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-9-17 0:00:00,"CW",3.00,"1045","THIER,ED","MANWELL,NORM",,,3.00,1.00,"C",2.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-9-21 0:00:00,"EI",3.00,"1040","SOUCY,CHERYL",,,,16.00,7.00,"B",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-9-29 0:00:00,"EI",3.00,"1115","SOUCY,CHERYL",,,,2.00,7.00,"B",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1996-10-17 0:00:00,"CW",3.00," 950","THIER,ED","MANWELL,NORM",,,4.00,7.00,"B",3.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-5-18 0:00:00,"EI",3.00,"1400","SOUCY,CHERYL",,,,12.00,7.00,"C",3.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-5-23 0:00:00,"CW",3.00," 928","THIER,ED","MANWELL,NORM",,,15.00,1.00,"C",4.60,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-5-31 0:00:00,"EI",3.00,"1300","SOUCY,CHERYL",,,,8.00,6.00,"C",4.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-6-15 0:00:00,"EI",3.00," 910","SOUCY,CHERYL",,,,7.00,7.00,"B",5.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-6-22 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,1.00,7.00,"B",5.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-6-27 0:00:00,"CW",3.00,"1032","THIER,ED","SCOTT,DOUG",,,8.00,8.00,"B",5.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-6-27 0:00:00,"CW",3.00,"1032","THIER,ED","SCOTT,DOUG",,,8.00,8.00,"B",5.70,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1997-6-29 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,1.00,7.00,"B",6.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-7-12 0:00:00,"EI",3.00,"1050","SOUCY,CHERYL",,,,4.00,8.00,"B",6.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-7-26 0:00:00,"EI",3.00,"1115","SOUCY,CHERYL",,,,1.00,7.00,"C",4.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-7-29 0:00:00,"CW",3.00,"1045","THIER,ED","ONION,ALENE",,,10.00,7.00,"B",4.30,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-7-29 0:00:00,"CW",3.00,"1045","THIER,ED","ONION,ALENE",,,10.00,7.00,"B",4.50,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1997-8-10 0:00:00,"EI",3.00," 930","SOUCY,CHERYL",,,,0.00,0.00,"B",3.20,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-8-24 0:00:00,"EI",3.00,"1020","SOUCY,CHERYL",,,,7.00,7.00,"B",2.70,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-8-29 0:00:00,"CW",3.00,"1012","THIER,ED","MONAGLE,BILL",,,3.00,2.00,"O",2.60,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1997-8-29 0:00:00,"CW",3.00,"1012","THIER,ED","MONAGLE,BILL",,,3.00,2.00,"O",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-9-6 0:00:00,"EI",3.00,"1130","SOUCY,CHERYL",,,,2.00,7.00,"C",2.50,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-9-14 0:00:00,"EI",3.00,"1200","SOUCY,CHERYL",,,,1.00,7.00,"B",3.10,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-9-25 0:00:00,"CW",3.00,"1445","THIER,ED","SCOTT,DOUG",,,9.00,5.00,"B",2.80,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1997-9-25 0:00:00,"CW",3.00,"1445","THIER,ED","SCOTT,DOUG",,,9.00,5.00,"B",3.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-9-27 0:00:00,"EI",3.00,"1420","SOUCY,CHERYL",,,,2.00,5.00,"B",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1997-10-9 0:00:00,"CW",3.00,"1410","THIER,ED","SCOTT,DOUG",,,9.00,5.00,"C",2.70,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1997-10-9 0:00:00,"CW",3.00,"1410","THIER,ED","SCOTT,DOUG",,,9.00,5.00,"C",2.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-5-16 0:00:00,"EI",3.00,"1045","SOUCY,CHERYL",,,,2.00,1.00,"C",5.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-5-20 0:00:00,"CW",3.00,"1140","MARTIN,JEREMY",,,,6.00,6.00,"B",5.80,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-5-20 0:00:00,"CW",3.00,"1140","MARTIN,JEREMY",,,,6.00,6.00,"B",5.80,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1998-5-30 0:00:00,"EI",3.00,"0900","SOUCY,CHERYL",,,,2.00,8.00,"B",5.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-6-21 0:00:00,"EI",3.00,"1400","SOUCY,CHERYL",,,,0.00,0.00,"O",5.10,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-6-21 0:00:00,"EI",3.00,"1400","SOUCY,CHERYL",,,,0.00,0.00,"O",5.10,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-6-22 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY","EMERSON,JOE",,,5.00,6.00,"C",5.40,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-6-22 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY","EMERSON,JOE",,,5.00,6.00,"C",5.60,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1998-7-19 0:00:00,"EI",3.00,"1020","SOUCY,CHERYL",,,,0.00,0.00,"B",5.00,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-7-19 0:00:00,"EI",3.00,"1020","SOUCY,CHERYL",,,,0.00,0.00,"B",5.00,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-7-25 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,5.00,7.00,"B",5.10,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-7-25 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,5.00,7.00,"B",5.10,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-2 0:00:00,"EI",3.00,"1105","SOUCY,CHERYL",,,,0.00,0.00,"B",4.10,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-9 0:00:00,"EI",3.00,"1020","SOUCY,CHERYL",,,,7.00,6.00,"B",3.90,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-9 0:00:00,"EI",3.00,"1020","SOUCY,CHERYL",,,,7.00,6.00,"B",4.10,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-21 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,3.00,6.00,"O",2.78,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-21 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,3.00,6.00,"O",2.78,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-23 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,3.00,1.00,"C",2.70,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-8-23 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,3.00,1.00,"C",2.80,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-6 0:00:00,"EI",3.00,"1035","SOUCY,CHERYL",,,,8.00,5.00,"B",2.40,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-6 0:00:00,"EI",3.00,"1035","SOUCY,CHERYL",,,,8.00,5.00,"B",2.40,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-18 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,2.00,5.00,"B",2.85,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-18 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,2.00,5.00,"B",2.90,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-19 0:00:00,"EI",3.00,"1150","SOUCY,CHERYL",,,,11.00,6.00,"B",2.80,"N","2","1",,,
"COBBOSSEECON",5236.00,2.00,1998-9-19 0:00:00,"EI",3.00,"1150","SOUCY,CHERYL",,,,11.00,6.00,"B",2.80,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-10-26 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,1.00,8.00,"B",3.90,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1998-10-26 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,1.00,8.00,"B",4.00,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-5-1 0:00:00,"EI",3.00,"1205","SOUCY,CHERYL",,,,0.00,0.00,"B",5.80,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-5-15 0:00:00,"EI",3.00,"0930","SOUCY,CHERYL",,,,0.00,0.00,"B",4.70,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-5-27 0:00:00,"CW",3.00,"1030","MARTIN,JEREMY",,,,1.00,6.00,"B",4.00,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-5-27 0:00:00,"CW",3.00,"1030","MARTIN,JEREMY",,,,1.00,6.00,"B",4.10,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-5-29 0:00:00,"EI",3.00,"1140","SOUCY,CHERYL",,,,0.00,0.00,"B",4.30,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-6-13 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,6.00,6.00,"C",5.50,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-6-15 0:00:00,"UM",2.00,"1230","PEARCE,ANDREA","COVE",,,10.00,8.00,"B",4.90,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-6-21 0:00:00,"CW",3.00,"1220","MARTIN,JEREMY",,,,1.00,8.00,"C",5.20,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-6-21 0:00:00,"CW",3.00,"1220","MARTIN,JEREMY",,,,1.00,8.00,"C",5.25,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-6-27 0:00:00,"EI",3.00,"1000","SOUCY,CHERYL",,,,0.00,0.00,"B",6.70,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-7-11 0:00:00,"EI",3.00,"1105","SOUCY,CHERYL",,,,8.00,7.00,"C",3.50,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-7-16 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,1.00,5.00,"B",2.95,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-7-16 0:00:00,"CW",3.00,"1130","MARTIN,JEREMY",,,,1.00,5.00,"B",3.00,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-8-1 0:00:00,"EI",3.00,"1100","SOUCY,CHERYL",,,,5.00,6.00,"C",2.60,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-8-14 0:00:00,"EI",3.00,"1215","SOUCY,CHERYL",,,,10.00,5.00,"O",2.40,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-8-18 0:00:00,"CW",3.00,"1230","MARTIN,JEREMY",,,,6.00,8.00,"C",2.60,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-8-18 0:00:00,"CW",3.00,"1230","MARTIN,JEREMY",,,,6.00,8.00,"C",2.70,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-8-29 0:00:00,"EI",3.00,"0930","SOUCY,CHERYL",,,,7.00,1.00,"B",3.90,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-9-12 0:00:00,"EI",3.00,"1445","SOUCY,CHERYL",,,,5.00,8.00,"B",3.60,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-9-20 0:00:00,"CW",3.00,"1230","MARTIN,JEREMY",,,,8.00,5.00,"C",2.45,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-9-20 0:00:00,"CW",3.00,"1230","MARTIN,JEREMY",,,,8.00,5.00,"C",2.50,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,1999-10-21 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,4.00,7.00,"B",3.05,"N","4","1",,,
"COBBOSSEECON",5236.00,2.00,1999-10-21 0:00:00,"CW",3.00,"1100","MARTIN,JEREMY",,,,4.00,7.00,"B",3.15,"N","5","1",,,
"COBBOSSEECON",5236.00,2.00,2000-5-6 0:00:00,"EI",3.00,"1045","SOUCY,CHERYL",,,,0.00,0.00,"C",4.80,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-5-16 0:00:00,"CW",3.00,"1120","MARTIN,JEREMY",,,,4.00,6.00,"B",6.15,"N","4","1","MA-0049",,
"COBBOSSEECON",5236.00,2.00,2000-5-16 0:00:00,"CW",3.00,"1120","MARTIN,JEREMY",,,,4.00,6.00,"B",6.20,"N","5","1","MA-0049",,
"COBBOSSEECON",5236.00,2.00,2000-5-20 0:00:00,"EI",3.00,"1130","SOUCY,CHERYL",,,,2.00,1.00,"B",5.50,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-6-4 0:00:00,"EI",3.00,"1335","SOUCY,CHERYL",,,,0.00,0.00,"O",4.00,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-6-16 0:00:00,"EI",3.00,"1320","SOUCY,CHERYL",,,,0.00,0.00,"B",4.00,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-6-29 0:00:00,"CW",3.00,"1230","MARTIN,JEREMY",,,,1.00,5.00,"B",5.30,"N","4","1","MA-0049",,
"COBBOSSEECON",5236.00,2.00,2000-7-1 0:00:00,"EI",3.00,"0945","SOUCY,CHERYL",,,,1.00,7.00,"B",6.40,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-7-15 0:00:00,"EI",3.00,"1400","SOUCY,CHERYL",,,,7.00,5.00,"C",4.80,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-7-25 0:00:00,"CW",3.00,"1115","MARTIN,JEREMY",,,,0.00,0.00,"B",4.50,"N","4","1","MA-0049",,
"COBBOSSEECON",5236.00,2.00,2000-7-30 0:00:00,"EI",3.00,"1345","SOUCY,CHERYL",,,,2.00,2.00,"O",4.00,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-8-13 0:00:00,"EI",3.00,"1100","SOUCY,CHERYL",,,,2.00,1.00,"O",3.20,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-8-15 0:00:00,"CW",3.00,"1315","MARTIN,JEREMY",,,,1.00,1.00,"O",3.30,"N","4","1","MA-0049",,
"COBBOSSEECON",5236.00,2.00,2000-8-26 0:00:00,"EI",3.00,"1055","SOUCY,CHERYL",,,,3.00,7.00,"B",3.00,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-9-9 0:00:00,"EI",3.00,"1150","SOUCY,CHERYL",,,,7.00,7.00,"B",2.70,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-9-23 0:00:00,"EI",3.00,"1010","SOUCY,CHERYL",,,,5.00,1.00,"O",2.80,"N","4","1","SO-0129",,
"COBBOSSEECON",5236.00,2.00,2000-9-26 0:00:00,"CW",3.00,"1115","MARTIN,JEREMY",,,,3.00,1.00,"B",2.85,"N","4","1","MA-0049",,
